F,Obj_ID,dist1_mod,dist2_mod,YawDiff1_mod,YawDiff2_mod,speed_SGF,yawAngle_axis2,acc_SGF
91868,191x_1111_51,99,99,0,0,1.761516823,-2.888329362,-1.320234216
94980,112x_112x_1115_54,3.804977307,99,-0.022620626,0,1.761546478,-2.531927365,2.137017488
37421,142x_1113_81,0.865369227,3.718546208,0.456883835,-2.279042017,1.761823243,0.463100899,-1.036165495
40468,152x_1113_106,99,99,0,0,1.761902218,-3.074620118,-2.804026742
76,171x_1111_10,99,99,0,0,1.762028656,2.739619213,1.072590628
2985,152x_1111_193,8.08918015,99,5.555051879,0,1.762093983,3.118624218,1.710135381
103587,172x_1113_59,99,99,0,0,1.762486066,-2.645775232,-5.91567818
20444,142x_1111_186,9.013707158,99,-0.296653706,0,1.763288547,2.712279804,-1.181508932
66506,142x_1115_201,5.196443125,6.751759585,-0.350365152,-0.187061097,1.763350294,-3.008400404,-0.612041183
66185,142x_1119_38,4.575021608,99,4.682165811,0,1.763702627,2.903886247,3.653018982
103676,162x_1113_157,3.004687656,5.974250573,-2.494745795,-2.992811237,1.764468099,-0.075672669,-0.474712816
46472,112x_112x_1113_103,2.65164701,4.203483025,0.089842794,-0.36464618,1.764533902,-0.283088768,1.719669291
66120,142x_1119_38,4.310242976,8.07803977,-0.479443368,-2.919355812,1.765153717,-2.917822908,0.629118579
66091,142x_1119_38,4.292830564,11.4726531,5.314148696,2.872124837,1.765623725,3.014461653,0.563141977
38794,112x_112x_1116_40,99,99,0,0,1.76577324,-3.034079766,0.345410229
2857,152x_1111_193,7.238211287,7.844547914,6.184508894,5.456798176,1.766262725,3.115216655,0.424171031
2956,152x_1111_193,8.987140718,9.584068751,-0.138346309,-5.497990565,1.766376919,-2.678788848,-2.379705224
3132,121x_1111_58,2.653049421,99,-0.442196428,0,1.766422615,-0.053360098,-0.91941435
33244,142x_1112_88,3.571177272,99,0.019277077,0,1.76646424,-2.940257028,-5.72256419
65072,161x_1111_23,99,99,0,0,1.767036543,0.002959243,-0.403414702
65066,161x_1111_23,99,99,0,0,1.767045502,0.011012402,0.377485574
